Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM9,KM10,KM11,KM12,KM13,KM14,KM15,KM16,KM17,KM18,KM19,K20,KM21,KM22
Republik Korea,République de Corée,61310.0,159203.0,1054773.0,769941.0,,,,,,,,,,,,,,,,,,
Rumänien,Roumanie,34284.0,,,,,,,,,,,,,,,,,,,,,
Russische Föderation,Russie,536172.0,,,,,,,,,,,,,,,,,,,,,
Saudi-Arabien,Arabie Saoudite,190025.0,914991.0,,,2754084.0,,,,,,,,,,,,,,,,,
Schweden,Suède,166917.0,363520.0,7589537.0,109031.0,1762319.0,516310.0,,1692092.0,,268638.0,,,,,,,,,,,,
Singapur,Singapour,133850.0,28966.0,582370.0,,130894.0,285863.0,,99500.0,,,,,,,,,,,,,,
Slowakische Republik,Slovaquie,9017.0,,,,,,,,,,,,,,,,,,,,,
Slowenien,Slovénie,,,185.0,,,,,,,,,,,,,,,,,,,
Sonderverwaltungszone Macau der Volksrepublik China,Région administrative spéciale de Macao de la République populaire de Chine,379773.0,,8416.0,,,,,,,,,,,,,,,,,,,
Spanien,Espagne,50819.0,4973155.0,960679.0,,1107527.0,,,223989.0,,418333.0,,,,,,,,,,,,
Staat Katar,État du Qatar,2800.0,,223440.0,,,,,,,,,,,,,,,,,,,
Südafrika,Afrique du Sud,2683.0,35879.0,17216.0,,45871.0,,,1123825.0,,,,,,,,,,,,,,
Thailand,Thaïlande,,,229500.0,,,,,,,,,,,,,,,,,,,
Tschechische Republik,République tchèque,479188.0,30794.0,16275.0,,17135.0,,,492.0,,,,,,,,,,,,,,
Tunesien,Tunisie,,,,,,,,,,544689.0,,,,,,,,,,,,
Türkei,Turquie,1382814.0,306610.0,800.0,,2153043.0,49830.0,,123.0,,,,,,,,,,,,,,
Ukraine,Ukraine,,,10994.0,,,,,,,,,,,,,,,,,,,
Ungarn,Hongrie,9636.0,500.0,2472047.0,,,,,185443.0,,,,,,,,,,,,,,
Vereinigte Arabische Emirate,Emirats arabes unis,161452.0,47820.0,12193091.0,246282.0,1449313.0,,,1060.0,,,,,,,,,,,,,,
Vereinigte Staaten von Amerika,États-Unis d'Amérique,4435930.0,51975.0,3337909.0,104907.0,,,,4140238.0,,22225148.0,,,,,,341038.0,,,,,,
